Chl-a,WT,pH,EC,DO,BOD,COD,SS,TN,TP,TOC,DOC,NH3-N,NO3-N,PO4-P,BODTOC ratio,BP,BP CN ratio,BP percent,HS,HS DON,HS CN ratio,Aromaticity,Mol-weight,BB,LMWA,LMWN
1.5,8.8,7.5,516,11.6,3,5.3,5,8.36,0.165,3.676,3.061,0.438,5.682,0.076,0.8,100,0.24,72,902,77,0.08,2.89,628,823,0,979
6.9,9.5,7.6,537,11.8,2.3,5.8,5.4,8.49,0.15,4.258,3.53,0.346,5.704,0.054,0.5,118,0.21,62,1087,85,0.08,3.05,630,1026,0,1075
13.3,11.2,7.6,406,10.7,3,7.5,10.2,6.235,0.18,5.946,4.192,0.236,4.186,0.083,0.5,184,0.2,61,1545,145,0.09,3.67,878,1403,32,913
20.1,13.9,7.6,506,9.9,2.9,6.8,17.3,6.235,0.18,4.276,3.365,0.288,5.206,0.063,0.7,130,0.29,88,1099,116,0.11,3.56,833,963,17,951
8.4,17.6,7.5,423,8.8,2.4,7.8,16,4.845,0.235,6.082,5.202,0.283,3.718,0.113,0.4,351,0.18,53,2143,161,0.08,3.7,812,1366,0,1047
9.7,17.2,7.9,468,11.7,3.3,8.4,10.6,7.83,0.226,5.637,5.074,0.703,2.965,0.146,0.6,252,0.2,61,1735,114,0.07,1.41,377,615,0,1034
7.8,23,8.1,581,11.1,2.6,9,6,6.072,0.201,5.551,5.536,4.108,0.562,0.126,0.5,668,0.1,29,1788,115,0.06,1.43,363,782,0,1174
8.5,17,8.1,539,11.7,3.1,9.7,5.1,6.234,0.177,6.555,5.398,0.037,3.688,0.082,0.5,110,0.36,100,821,57,0.07,1.49,381,451,0,658
17.5,25.3,9.1,516,15.6,2.7,9,8.2,4.911,0.126,6.68,5.756,0.037,3.688,0.035,0.4,265,0.43,100,1640,161,0.1,1.67,432,1070,0,1357
3.9,21.1,7.9,478,8.6,2.9,11.7,24,5.364,0.264,8.073,7.072,0.718,3.194,0.157,0.4,310,0.28,83,2979,256,0.09,2.23,409,1080,0,1402
9.2,24,8.1,555,9.2,3.4,12.1,16,5.42,0.285,8.63,7.781,1.07,2.898,0.176,0.4,285,0.25,76,3038,265,0.09,2,387,1268,0,1791
5.5,25,8,438,7.6,2.6,11,27.2,4.28,0.335,8.206,6.778,0.304,2.46,0.199,0.3,320,0.25,76,3111,239,0.08,2.37,458,1210,0,1376
12.2,22.5,7.9,509,9.6,2,8.4,6.7,3.342,0.159,5.741,5.228,0.233,2.356,0.071,0.3,70,0.24,73,1596,136,0.09,2.51,215,1677,12,656
12.2,24.8,7.9,466,8.9,1.6,9.2,28.4,3.455,0.31,6.74,5.745,0.127,1.877,0.175,0.2,81,0.46,100,2094,178,0.09,2.91,197,1836,6,843
34.4,21.2,7.4,265,7.5,11,15.8,64,5.51,1.075,8.983,6.675,1.242,2.416,0.368,1.2,119,0.19,58,2306,196,0.08,3.21,208,1769,33,778
16.6,23.7,7.3,182,6.7,6.4,15.7,188.8,5.06,1.18,8.523,5.6,1.188,1.732,0.429,0.8,86,0.27,80,2224,198,0.09,3.77,262,1981,0,638
6.1,23,7.2,155,7.2,2.7,10.7,110,6.95,1.18,7.239,4.517,0.181,2.055,0.254,0.4,71,0.56,100,1685,150,0.09,4.08,260,1504,36,693
5.8,26,7.3,337,7.4,1.4,6.8,26.8,6.15,0.255,5.772,4.385,0.055,3.875,0.19,0.2,37,0.16,47,1679,130,0.08,3.54,208,1607,64,482
12.6,28.6,7.6,361,9.1,0.9,6.1,4.4,4.128,0.216,4.43,4.14,0.047,3.184,0.168,0.2,39,0.3,90,1402,108,0.08,3.58,195,1215,1,599
10.4,28.7,8.1,375,9.2,1,6.3,3,3.49,0.216,4.52,4.103,0.081,2.891,0.17,0.2,40,0.15,44,1273,92,0.07,3.69,222,1376,62,531
5.5,26.7,7.5,308,8.1,1,5.2,8.9,4.292,0.222,4.127,3.819,0.041,3.535,0.177,0.2,38,0.2,61,1301,110,0.08,3.38,174,977,33,404
10.7,27,7.6,373,8.3,1.7,7,8,5.27,0.26,4.984,4.342,0.095,3.864,0.182,0.3,215,0.04,13,1491,133,0.09,3.41,232,1812,27,869
5.9,23.3,7.4,368,7.5,1.9,7.3,30.3,4.9,0.335,4.764,4.202,0.14,3.913,0.201,0.4,44,0.49,100,1731,150,0.09,4.45,649,1195,64,3290
8.9,22.9,7.5,387,8.3,1.2,5,4.7,6.415,0.21,3.859,3.371,0.134,4.92,0.152,0.3,37,0.22,65,1370,115,0.08,3.53,775,1003,7,810
4.8,21.5,7.5,361,8.1,1.1,6,14.8,6.195,0.26,4.436,3.662,0.141,4.764,0.173,0.2,20,0.12,37,1514,123,0.08,4.14,789,1121,16,899
4.9,19.3,7.4,368,9.8,0.7,4.3,5.6,7.206,0.177,3.054,2.803,0.125,6.18,0.137,0.2,19,0.28,83,1045,92,0.09,4.03,786,945,0,634
6.5,15.9,7.4,384,10.5,1.2,5.3,46.7,7.278,0.261,4.447,3.472,0.142,6.044,0.141,0.3,29,0.36,100,1158,115,0.1,3.75,786,1019,0,701
4.4,13,7.6,392,10.4,1.5,5.9,41.1,6.276,0.213,4.006,3.462,0.237,5.376,0.104,0.4,61,0.17,52,1295,110,0.09,3.73,783,1138,11,957
3.5,8.6,7.5,401,11.9,0.9,4.2,8.4,8.652,0.123,3.02,2.835,0.259,6.94,0.084,0.3,19,0.63,100,937,76,0.08,3.58,617,758,0,614
