Chl-a,WT,pH,EC,DO,BOD,COD,SS,TN,TP,TOC,DOC,NH3-N,NO3-N,PO4-P,BODTOC ratio,BP,BP CN ratio,BP percent,HS,HS DON,HS CN ratio,Aromaticity,Mol-weight,BB,LMWA,LMWN
5.8,4.4,7.6,648,12.5,1.7,5.2,11.2,8.28,0.14,3.684,3.268,0.65,5.91,0.063,0.5,98,0.48,100,957,111,0.12,3.53,845,923,0,925
2.9,7.7,7.4,564,11.6,8.8,5.9,4.4,8.025,0.13,3.12,2.583,0.14,6.324,0.01,2.8,124,0.21,64,810,77,0.1,2.96,846,777,0,729
1.9,7,7.5,387,12.6,1.3,5.5,14.6,7.293,0.186,3.828,3.253,0.296,6.072,0.093,0.3,122,0.2,60,1204,92,0.08,3.96,630,1039,0,729
4.5,7,7.6,394,12.5,0.8,4.3,17,8.343,0.159,2.557,2.519,0.343,6.414,0.053,0.3,86,0.25,74,881,68,0.08,3.36,613,782,0,636
1.4,6.8,7.8,411,13.3,1.5,4.1,8.2,7.506,0.105,2.992,2.426,0.302,5.334,0.043,0.5,82,0.26,77,794,74,0.09,3.43,659,763,0,654
3.8,8.3,8,461,12.8,1.5,4.9,9,7.446,0.093,3.661,2.921,0.361,6.348,0.042,0.4,126,0.2,59,971,83,0.09,3.14,641,850,0,801
9.8,11.1,7.6,303,11.4,3.9,8.3,36.3,5.484,0.303,5.625,4.264,0.574,3.83,0.108,0.7,175,0.21,64,1547,139,0.09,3.78,892,1282,62,962
14.3,14,7.5,389,9.6,2.4,5.7,38,5.706,0.183,3.916,3.092,0.323,4.434,0.035,0.6,115,0.26,77,1021,97,0.09,3.51,839,867,0,809
10,16.4,7.7,426,10.4,2,5.6,12.2,4.923,0.12,3.622,3.559,0.236,4.092,0.05,0.6,195,0.24,73,1147,93,0.08,3.83,806,803,0,793
8.8,15.7,7.7,294,10.4,3.5,7.8,31.3,4.137,0.225,5.106,3.977,0.296,2.91,0.084,0.7,285,0.15,45,1883,121,0.06,3.56,845,1088,0,842
27.1,16.3,7.6,294,9.7,3.6,8.4,66.5,3.455,0.315,4.939,4.297,0.247,2.418,0.087,0.7,251,0.13,38,1603,103,0.06,3.7,846,1018,0,834
8.6,14.1,7.7,541,9.7,1.6,6.5,11,5.826,0.166,4.368,4.098,0.333,2.281,0.097,0.4,185,0.17,50,1424,76,0.05,1.73,375,468,0,853
5.6,20.3,7.6,486,9.1,1.5,5.8,7.2,4.434,0.129,3.925,3.552,3.396,0.202,0.051,0.4,153,0.17,50,1237,69,0.06,1.67,362,510,0,655
34,15.3,7.7,388,10.1,2.9,7.3,13.2,3.48,0.123,4.868,3.761,0.025,2.236,0.016,0.6,102,0.22,66,700,44,0.06,2.02,396,262,0,392
24.7,21.8,7.8,368,10.4,3.2,6.9,14,3.882,0.201,5.613,4.153,0.025,2.236,0.043,0.6,236,0.15,44,1467,100,0.07,2.06,434,560,0,810
5,20,7.6,430,7.2,2.1,10.4,29.8,4.8,0.246,7.03,6.009,0.719,2.921,0.137,0.3,271,0.23,69,2732,207,0.08,2.01,389,790,0,1220
23.3,23.2,7.6,412,5.1,3.5,11.3,35.7,4.07,0.27,8.331,7.015,0.515,2.676,0.108,0.4,273,0.19,57,2701,211,0.08,2.06,394,1009,0,1495
8.9,24.6,7.7,363,6.8,3.1,11.2,81,4.02,0.515,7.401,6.089,0.318,2.327,0.191,0.4,348,0.17,50,2720,214,0.08,2.46,478,847,0,1432
9.5,24.1,7.7,433,7.4,1.3,6.5,16.4,2.022,0.156,5.17,4.254,0.104,1.271,0.048,0.3,108,0.32,95,1569,134,0.09,2.67,229,1401,0,515
13.3,27.1,7.7,462,6.5,1.9,8.7,30.3,2.75,0.28,6.493,5.616,0.137,1.544,0.131,0.3,79,0.13,40,2083,173,0.08,2.97,207,1668,0,597
24.4,21.9,7.2,287,7,6.7,14.4,120,4.58,0.85,7.451,6.064,0.744,2.028,0.248,0.9,80,0.18,55,2124,153,0.07,3.08,203,1848,17,711
19.7,24.5,7.1,158,6.4,4.9,15.3,230,3.81,1.25,8.68,4.891,0.237,1.656,0.352,0.6,67,0.3,90,1869,169,0.09,3.92,269,1687,11,500
6.4,23.5,7.1,155,6.9,3,10.2,126,7.01,1.25,6.153,4.428,0.233,2.052,0.254,0.5,108,0.14,42,1875,154,0.08,3.65,223,1163,12,410
7.8,26.2,7.3,388,7.6,1.5,6.4,22,6.64,0.21,5.041,4.253,0.165,4.684,0.177,0.3,46,0.25,75,1438,102,0.07,3.42,198,1165,7,429
19.9,29.2,7.4,376,8.1,1.3,5.8,24,3.939,0.231,4.931,3.938,0.073,2.93,0.144,0.3,55,0.08,23,1390,104,0.07,3.48,199,1114,2,442
18.1,26.6,7.4,421,7.1,1.8,6.2,13,5.14,0.23,4.706,4.019,0.219,4.062,0.145,0.4,62,0.17,50,1308,109,0.08,3.48,231,1745,31,667
10.6,23.6,7.3,289,7.4,2,7.8,51.6,4.425,0.45,4.873,4.112,0.142,3.051,0.239,0.4,46,1.01,100,1801,177,0.1,5.44,671,1298,55,3457
12.5,23.5,7.5,407,7.6,1.5,5.1,17.5,5.91,0.215,4.182,2.904,0.131,4.298,0.126,0.4,36,0.18,55,1139,94,0.08,3.88,776,898,0,717
6.3,21.8,7.5,386,7.9,0.8,6,14.5,5.97,0.255,4.245,3.37,0.103,4.654,0.164,0.2,21,0.19,56,1375,107,0.08,4.18,781,1009,20,775
3.1,17.8,7.4,429,9.7,0.7,4.3,7.1,6.981,0.213,3.124,2.679,0.152,5.504,0.163,0.2,21,0.07,22,1039,89,0.09,3.99,790,910,0,619
4,15.1,7.4,437,9.6,0.9,4.3,9.4,7.281,0.156,3.074,2.949,0.194,5.824,0.097,0.3,31,0.06,17,1007,91,0.09,3.75,790,904,0,643
4.5,14.4,7.5,425,9,1.1,4.1,7.1,6.987,0.15,3.213,2.219,0.101,5.89,0.107,0.3,33,0.21,62,996,89,0.09,3.75,786,926,0,632
2.7,11.9,7.5,413,10.9,0.9,4.9,7.8,5.739,0.162,3.509,3.211,0.112,4.96,0.107,0.3,65,0.14,43,1272,108,0.09,3.76,785,1076,11,971
1.7,7.8,7.4,437,11.6,0.8,4,5.4,8.112,0.111,2.692,2.58,0.179,6.444,0.073,0.3,11,0.65,100,889,54,0.06,3.33,623,722,0,571
3.3,5.3,7.5,584,11.6,8.4,6.8,7.3,8.715,0.189,3.199,3.002,0.361,6.442,0.117,2.6,56,0.21,63,995,63,0.06,3.28,622,861,0,1061
2.5,4.9,7.4,475,11.9,1.4,9.2,9.2,8.298,0.12,2.859,2.468,0.208,6.662,0.054,0.5,54,0.13,38,806,65,0.08,2.97,753,718,0,597
16.6,6.5,7.5,435,11.2,2.1,4,11.2,7.65,0.205,4.391,3.855,0.282,5.142,0.114,0.5,91,0.19,56,1488,101,0.07,3.56,638,1120,0,901
2.2,3.8,7.7,411,12.2,1.5,4.2,10.8,8.51,0.155,3.311,2.84,0.318,6.728,0.092,0.5,33,0.18,55,896,89,0.1,3.8,785,821,0,690
1.9,2.4,7.6,472,13.2,0.7,3.6,7.4,8.12,0.116,2.656,2.392,0.467,6.552,0.059,0.3,39,0.18,54,689,54,0.08,2.98,780,694,0,527
2.2,4.1,7.5,466,12,1.8,3.9,8.1,9.27,0.135,3.859,2.653,0.771,6.614,0.073,0.5,51,0.1,31,765,61,0.08,2.9,757,742,0,775
5.3,4.6,7.6,551,11.8,2.2,6.2,12.6,7.885,0.18,3.857,3.471,0.789,5.972,0.09,0.6,130,0.21,63,1083,93,0.09,3.11,852,974,0,722
4.6,7.6,7.5,463,10.3,2.5,4.6,5.1,8.745,0.12,2.856,2.621,0.343,6.454,0.045,0.9,61,0.37,100,814,87,0.11,3.35,834,806,0,678
3,6.3,7.4,427,11.6,1.8,5.2,13,9.2,0.19,3.502,3.092,0.523,6.318,0.096,0.5,73,0.33,99,1038,81,0.08,3.95,624,978,0,761
2.5,6.5,7.5,434,11.8,1.1,4.7,7.8,9.23,0.155,3.169,2.56,0.407,6.328,0.077,0.3,60,0.13,38,813,54,0.07,3.67,829,796,0,656
2.4,6.9,7.5,423,12.1,1.8,4.6,8.2,7.71,0.115,3.343,2.685,0.527,5.848,0.06,0.5,96,0.24,73,845,77,0.09,2.98,631,759,0,757
3,6.9,7.6,550,11,3.2,6,9.4,8.89,0.185,4.712,3.689,0.517,6.588,0.069,0.7,122,0.24,73,1129,98,0.09,3.35,636,1048,8,1216
8.5,9.4,7.5,362,10.4,4.1,7.8,20.2,6.835,0.26,5.155,4.324,0.532,4.594,0.112,0.8,172,0.22,67,1511,139,0.09,3.84,883,1363,51,833
9.5,14.4,7.5,471,8.4,2.6,6,14.7,6.835,0.26,3.902,3.388,0.375,5.63,0.056,0.7,120,0.28,85,1087,98,0.09,3.68,833,962,5,1174
6.6,18.2,7.7,378,9.8,3.1,8.4,23.7,5.12,0.27,6.053,5.066,0.33,3.79,0.128,0.5,311,0.2,60,2444,162,0.07,3.49,788,1132,0,1056
9.5,19.3,7.7,512,9.7,2,6.5,7.9,4.458,0.146,5.098,4.096,0.324,1.596,0.074,0.4,179,0.2,61,1427,85,0.06,1.72,374,468,0,809
8.6,21.4,8.3,588,12,1.8,6.8,3.9,4.35,0.141,4.641,4.273,2.958,0.345,0.093,0.4,238,0.17,50,1603,91,0.06,1.68,365,605,0,797
13.7,16,8.7,753,13.6,2.9,7.8,4.9,4.416,0.117,5.471,4.832,0.145,2.08,0.052,0.5,116,0.2,59,889,49,0.06,1.78,384,337,0,520
30.3,24.1,9.6,489,17.7,3,9,9.9,3.444,0.135,6.745,5.928,0.145,2.08,0.043,0.4,319,0.24,71,2207,164,0.07,1.94,419,946,0,1067
4.2,21.1,7.8,528,7.6,2.6,10.7,15,4.836,0.21,7.428,6.598,0.642,2.693,0.127,0.4,287,0.2,61,2867,223,0.08,2.1,408,1002,0,1349
14.4,24.6,7.8,471,6.9,5.2,11.6,23.8,4.3,0.355,8.64,7.183,0.846,2.194,0.139,0.6,244,0.19,57,2789,216,0.08,2.18,392,1059,0,1548
7.7,23.9,7.8,419,6.6,3.8,11.8,48.3,3.99,0.47,7.729,6.417,0.379,2.21,0.187,0.5,336,0.18,54,2874,219,0.08,2.45,473,925,0,1420
11.5,22.1,8,523,8.6,1.2,6.9,3.1,2.028,0.12,4.869,4.586,0.038,1.334,0.069,0.2,85,0.02,6,1659,121,0.07,2.99,223,1502,0,526
9.6,25.9,7.9,490,7.3,1.5,9,16.3,2.39,0.245,6.557,5.704,0.077,1.169,0.079,0.2,107,0.28,84,2196,188,0.09,2.9,206,1864,8,692
26.6,22.4,7.5,438,7.2,6.4,12.3,22.3,3.68,0.71,6.554,5.298,0.266,1.51,0.142,1,109,0.61,100,1949,156,0.08,3.23,208,1786,84,716
20.9,23.8,7.2,160,7,8.3,18.9,225,4.34,1.46,8.834,4.574,0.174,1.47,0.297,0.9,89,0.31,93,1970,187,0.09,3.87,224,1315,13,538
6.1,23.6,7.3,178,7.5,3.2,9.3,72,7.99,0.93,6.796,4.385,0.238,2.266,0.203,0.5,81,0.13,39,1757,121,0.07,4.07,229,1441,25,676
7.1,26,7.4,384,7.5,1.4,5.6,12.6,6.66,0.275,4.539,4.026,0.207,5.326,0.159,0.3,19,0.79,100,1365,80,0.06,3.57,199,1217,0,427
10.7,29.3,7.5,439,7.1,0.9,6.2,8.5,4.725,0.195,4.589,3.994,0.085,3.738,0.151,0.2,63,0.22,65,1361,115,0.08,3.41,199,1186,10,625
16.4,29.6,8.1,479,7.7,0.9,5.4,5.7,3.83,0.188,4.064,3.393,0.046,3.256,0.146,0.2,68,0.13,38,1178,84,0.07,2.96,225,1291,34,451
14,27,7.5,424,7.1,1.2,6.3,9.2,5.025,0.195,4.207,3.716,0.215,3.726,0.134,0.3,47,0.16,48,1137,98,0.09,3.69,249,1619,13,610
9.1,23.1,7.5,338,7.3,2.1,7.6,31.7,5.26,0.29,4.679,4.02,0.392,3.837,0.182,0.4,41,1.01,100,1724,151,0.09,5.54,662,1328,43,3718
11.1,23.6,7.4,438,7.7,1,4.1,4.7,5.64,0.185,3.678,2.83,0.058,4.086,0.132,0.3,29,0.31,92,1122,88,0.08,3.57,772,881,8,690
5.6,21.9,7.5,419,7.8,0.8,5.4,11.5,5.785,0.23,4.242,3.553,0.091,4.55,0.163,0.2,20,0.32,95,1423,121,0.08,4.12,783,1069,23,757
4.8,18.9,7.4,448,9.3,0.6,4.3,4.6,6.102,0.174,2.97,2.637,0.058,5.07,0.129,0.2,28,0.06,18,1011,83,0.08,3.8,786,926,0,699
4.3,16.5,7.5,430,9.7,0.9,4.5,10.3,6.294,0.141,3.154,3.092,0.035,5.258,0.096,0.3,33,0.09,27,991,86,0.09,3.68,785,907,0,676
4.3,15.1,7.5,451,9.8,0.7,3.8,4.2,5.946,0.114,2.872,2.797,0.078,5.19,0.078,0.2,37,0.21,63,966,91,0.09,3.39,773,871,0,599
6.5,14.7,7.6,454,9.3,0.9,3.8,3.4,6.507,0.126,2.759,2.558,0.075,5.364,0.084,0.3,28,0.17,52,932,82,0.09,3.67,783,925,5,638
4,12.8,7.6,470,10.3,0.7,4.6,4.8,5.46,0.132,3.078,2.934,0.086,4.934,0.093,0.2,42,0.19,58,1107,99,0.09,3.7,777,991,1,760
2.9,9,7.4,460,11.1,1.6,4.7,4.4,6.927,0.111,3.054,2.865,0.212,5.454,0.071,0.5,17,0.59,100,882,64,0.07,3.59,616,782,0,602
3.8,7.4,7.4,788,11.6,2.4,5.1,8.4,6.75,0.102,2.862,2.809,0.105,5.296,0.053,0.8,54,0.19,57,944,60,0.06,3.17,607,889,0,784
2.9,6.7,7.4,562,12.1,1.3,4.6,4.6,6.924,0.111,2.674,2.499,0.185,5.636,0.05,0.5,53,0.18,54,817,68,0.08,2.7,749,739,0,616
8.7,7.8,7.5,468,11,1.7,3.9,8.4,5.925,0.14,4.032,3.756,0.122,4.36,0.082,0.4,70,0.21,64,1331,96,0.07,3.46,630,1036,18,835
4.6,5.6,7.9,459,11.7,1.2,4,6.8,7.24,0.12,2.923,2.511,0.257,6.036,0.068,0.4,25,0.23,69,818,77,0.09,3.65,778,809,0,612
4.1,3.6,7.4,516,13.2,1,3.8,5.6,7.376,0.112,2.803,2.652,0.226,6.014,0.044,0.4,45,0.16,48,752,64,0.09,2.91,777,796,0,713
3.7,4.8,7.7,514,12.4,1.5,3.9,5.4,7.67,0.12,2.888,2.516,0.29,5.998,0.055,0.5,47,0.15,46,743,63,0.08,2.85,753,728,0,685
5.8,5.8,7.6,584,11.7,2.4,5.3,5.4,6.57,0.135,3.872,3.694,0.274,5.18,0.066,0.6,82,0.37,100,1004,80,0.08,3.1,834,921,0,692
8.4,8,7.5,476,11.2,1.5,4.5,3.7,7.105,0.115,2.82,2.469,0.363,5.388,0.046,0.5,61,0.31,94,777,63,0.08,3.21,823,815,0,778
2.7,7.4,7.5,452,11.4,1.1,4.7,6.6,7.9,0.135,3.32,2.992,0.3,5.792,0.075,0.3,74,0.28,85,1025,82,0.08,3.93,614,1023,0,752
4.4,7.9,7.7,472,11.4,0.9,4.4,5.2,8.345,0.13,3.052,2.551,0.344,5.804,0.055,0.3,67,0.31,94,897,70,0.08,3.3,618,887,0,625
